EnsemblGeneID,GeneID,Var1,RHC3555__Bcell__#7DEA7B,RHC3557__Bcell__#7DEA7B,RHC3562__Bcell__#7DEA7B,RHC3594__Bcell__#7DEA7B,RHC3596__Bcell__#7DEA7B,RHC3600__Bcell__#7DEA7B,RHC3602__Bcell__#7DEA7B,RHC3633__Bcell__#7DEA7B,RHC4079__Fibroblast__#FB4E09,RHL2786__Bcell__#7DEA7B
ENSG00000000003,7105,chrX:99883666-99894988_TSPAN6_ENSG00000000003.10,0,7.1692,0,0,0,0,0,0,0,0
ENSG00000000005,64102,chrX:99839798-99854882_TNMD_ENSG00000000005.5,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,8813,chr20:49505584-49575092_DPM1_ENSG00000000419.8,0,0,0,11.2985,10.8614,0,0,0,0,0
ENSG00000000457,57147,chr1:169631244-169863408_SCYL3_ENSG00000000457.9,136.968,5.67254,0,0,0,0,0,0,0,20.7457
ENSG00000000460,55732,chr1:169631244-169863408_C1orf112_ENSG00000000460.12,0,0,0,0,0,0,0,0,0,0
ENSG00000000938,2268,chr1:27938574-27961788_FGR_ENSG00000000938.8,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,3075,chr1:196621007-196716634_CFH_ENSG00000000971.11,0,0,0,0,0,0.139812,0,0,1.24726,0
ENSG00000001036,2519,chr6:143771943-143832827_FUCA2_ENSG00000001036.9,516.721,0,96.0642,170.039,0.133757,1.04913,0,3.14704,10.4074,85.0872
ENSG00000001084,2729,chr6:53362138-53481969_GCLC_ENSG00000001084.6,0,0,0,0,0,0,0,0,0.0202002,0
ENSG00000001167,4800,chr6:40994771-41067715_NFYA_ENSG00000001167.10,0,0,0,0,0,0,0,0,0,20.0149
ENSG00000001460,90529,chr1:24634045-24799466_STPG1_ENSG00000001460.13,0,0,0,0,0,0,0,0,0,0
ENSG00000001461,57185,chr1:24634045-24799466_NIPAL3_ENSG00000001461.12,0,0,0,0,0.0588726,0,0,0,47.0341,0
ENSG00000001497,81887,chrX:64732461-64754655_LAS1L_ENSG00000001497.12,0,0,0,0,0,0,0,0,0,2.69635
ENSG00000001561,22875,chr6:46097729-46114436_ENPP4_ENSG00000001561.6,0,0,0,0,0.286325,0,0,0,0,0
ENSG00000001617,6405,chr3:49977439-50226508_SEMA3F_ENSG00000001617.7,0,0,0,0,0,0,0,0,0,0
ENSG00000001626,1080,chr7:117105837-117514193_CFTR_ENSG00000001626.10,0,0.793303,0,0,0,0,0,0,0,0
ENSG00000001629,54467,chr7:91875547-92030698_ANKIB1_ENSG00000001629.5,0,0,39.4175,0.0852233,0,0,0,67.3581,0,0
ENSG00000001630,1595,chr7:91741464-91810039_CYP51A1_ENSG00000001630.11,0,3.69965,1.42994,10.6324,0,0,0.702294,0,0,0
ENSG00000001631,889,chr7:91828282-91875480_KRIT1_ENSG00000001631.10,0,0,0,0.2534,133.357,0,0,8.2537,0.0407649,4.36962
ENSG00000002016,5893,chr12:1021242-1605099_RAD52_ENSG00000002016.12,0,1.68304,0,0,0,0,0,0,0,0
