EnsemblGeneID,GeneID,Var1,RHC3546__Tcell__#C6E879,RHC4045__MastCell__#E596C5,RHC4053__Tcell__#C6E879,RHC4747__Tcell__#C6E879,RHC4771__Tcell__#C6E879,RHC4776__Tcell__#C6E879,RHC4804__Tcell__#C6E879,RHL2752__Tcell__#C6E879,RHC5620__Tcell__#C6E879,RHC5646__Tcell__#C6E879,RHC5699__Tcell__#C6E879,RHC5702__Tcell__#C6E879,RHC5827__Tcell__#C6E879,RHC5910__Tcell__#C6E879,RHC5982__Tcell__#C6E879,RHC5995__Tcell__#C6E879,RHC6004__Tcell__#C6E879
ENSG00000000003,7105,chrX:99883666-99894988_TSPAN6_ENSG00000000003.10,1.31466,0,0,0,0,0,0,8.32075,0,0.492747,0,0,0,0,0,0,0
ENSG00000000005,64102,chrX:99839798-99854882_TNMD_ENSG00000000005.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,8813,chr20:49505584-49575092_DPM1_ENSG00000000419.8,0,0,340.271,0,0,0,0,141.254,0,0,0,0,0,0,0,0,0
ENSG00000000457,57147,chr1:169631244-169863408_SCYL3_ENSG00000000457.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000460,55732,chr1:169631244-169863408_C1orf112_ENSG00000000460.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.704
ENSG00000000938,2268,chr1:27938574-27961788_FGR_ENSG00000000938.8,0,0,0,0,42.3255,0,306.996,0,0,0,0,0,0,0,0,0,0
ENSG00000000971,3075,chr1:196621007-196716634_CFH_ENSG00000000971.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,2519,chr6:143771943-143832827_FUCA2_ENSG00000001036.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001084,2729,chr6:53362138-53481969_GCLC_ENSG00000001084.6,0,0,4.59029,0,0,0,0,0,0,0,0.278243,0.48089,0,0,0,0,0
ENSG00000001167,4800,chr6:40994771-41067715_NFYA_ENSG00000001167.10,0,0,8.36925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001460,90529,chr1:24634045-24799466_STPG1_ENSG00000001460.13,0,0,0,0,0,0,0,0,0,0,0,0,0.634435,0,0,0,0
ENSG00000001461,57185,chr1:24634045-24799466_NIPAL3_ENSG00000001461.12,0,0,0,0,0,0,0,0,0,0.185179,7.61309,0,0,0,0,0,0
ENSG00000001497,81887,chrX:64732461-64754655_LAS1L_ENSG00000001497.12,7.95832,0,0,0,731.859,0,0,0,379.069,0,0,0,0,0,0,0,0.489774
ENSG00000001561,22875,chr6:46097729-46114436_ENPP4_ENSG00000001561.6,0,0,0,0,0,0,0,36.8006,0,0,5.0109,0,0,0,0,0,0
ENSG00000001617,6405,chr3:49977439-50226508_SEMA3F_ENSG00000001617.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001626,1080,chr7:117105837-117514193_CFTR_ENSG00000001626.10,2.30374,0,0,0,0,0,0,0,0,0,0,12.9388,0,0.698524,0,0,0
ENSG00000001629,54467,chr7:91875547-92030698_ANKIB1_ENSG00000001629.5,0,0,0,0,0,0,1.11737,0,0,0,0,0,3385.1,0,0,376.152,23.6198
ENSG00000001630,1595,chr7:91741464-91810039_CYP51A1_ENSG00000001630.11,0,0,0,0,198.57,0,85.9695,0,0,12.0802,0,0,0.522148,0,0,0,0
ENSG00000001631,889,chr7:91828282-91875480_KRIT1_ENSG00000001631.10,0,0,0,0,23.808,0,0,0,0,93.0221,0,0,0,0,968.624,0,0
ENSG00000002016,5893,chr12:1021242-1605099_RAD52_ENSG00000002016.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.547
ENSG00000002330,572,chr11:64037301-64056972_BAD_ENSG00000002330.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002549,51056,chr4:17578814-17616194_LAP3_ENSG00000002549.8,0,0,0.289302,25.4752,13.0363,0,0,0,0,0,0,365.987,0,0,32.8675,0,945.122
ENSG00000002586,4267,chrX:2609219-2659350_CD99_ENSG00000002586.13,97.1622,0,293.745,721.553,0,125.591,612.501,52.0201,0,10.5736,0.524079,515.761,0,2.91505,965.166,0,0
ENSG00000002587,9957,chr4:11394773-11431389_HS3ST1_ENSG00000002587.5,0,0,0,0,0,0,0,0,0,0,0,0,1.33824,0,0,0,0
ENSG00000002726,26,chr7:150521714-150558592_AOC1_ENSG00000002726.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,51384,chr7:120965420-120981158_WNT16_ENSG00000002745.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,23072,chr7:43152197-43605600_HECW1_ENSG00000002746.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,8379,chr7:1855428-2272878_MAD1L1_ENSG00000002822.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002834,3927,chr17:37026111-37078023_LASP1_ENSG00000002834.13,0,0,0,2.69845,1762.45,0,0,17.1127,22.7355,0,1.20954,0,0,0,0,0,0
ENSG00000002919,29916,chr17:46180718-46200436_SNX11_ENSG00000002919.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002933,55365,chr7:150488372-150502208_TMEM176A_ENSG00000002933.3,20.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,4074,chr12:9066491-9102551_M6PR_ENSG00000003056.3,0,0,103.311,757.779,950.353,0,0,80.5218,0,205.506,0,0,0.244733,0,502.68,0,0
ENSG00000003096,90293,chrX:117031775-117251303_KLHL13_ENSG00000003096.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003137,56603,chr2:72356366-72375167_CYP26B1_ENSG00000003137.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003147,3382,chr7:8152813-8384146_ICA1_ENSG00000003147.13,3.19817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003249,79007,chr16:90071272-90114181_DBNDD1_ENSG00000003249.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003393,57679,chr2:202565276-202645912_ALS2_ENSG00000003393.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003400,843,chr2:202047603-202094129_CASP10_ENSG00000003400.10,5.23378,0,0,0,0,0,0,0,0,0,0,0,0.127799,0,0,42.6304,0
ENSG00000003402,8837,chr2:201980826-202041410_CFLAR_ENSG00000003402.15,14.1275,0.466537,0.641408,4.20795,612.89,0.427413,25.9977,29.327,478.101,7.16834,0.401048,0,58.1375,2.67475,24.4184,1.22519,144.544
ENSG00000003436,7035,chr2:187866602-188430487_TFPI_ENSG00000003436.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003509,55471,chr2:37394962-37551951_NDUFAF7_ENSG00000003509.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003756,10181,chr3:49977439-50226508_RBM5_ENSG00000003756.12,306.621,0,0,7.87981,0,0,0,0,0,0,0,0,0,1.95458,0,0,7.42279
